Time (s),Power (W)
1401,750.9161036
1402,-921.2019361
1403,-1552.194238
1404,-1017.108899
1405,-82.69620258
1406,66.91354391
1407,-3974.730564
1408,-3122.104618
1409,-455.4927933
1410,203.5019533
1411,775.4241162
1412,1419.393512
1413,2209.995895
1414,3104.617521
1415,2904.164739
1416,2567.947124
1417,848.4955295
1418,791.2035244
1419,978.3206606
1420,-2014.325933
1421,-4300.003874
1422,-3377.361269
1423,-1827.11815
1424,589.9859651
1425,3431.245108
1426,3817.712688
1427,2921.48744
1428,2461.986065
1429,1982.998842
1430,1795.007737
1431,1877.856667
1432,1252.161421
1433,-606.9108708
1434,-629.0918223
1435,273.46211
1436,980.6421572
1437,1088.412767
1438,1038.223831
1439,375.2971423
1440,705.8655786
1441,790.8225923
1442,669.0992996
1443,658.6817916
1444,322.7727309
1445,895.5817897
1446,613.0211102
1447,968.8968421
1448,303.2204491
1449,507.6445631
1450,2399.639877
1451,2197.977894
1452,1910.668027
1453,2268.604734
1454,1834.778773
1455,2436.502932
1456,2657.773616
1457,2198.67436
1458,1382.586629
1459,-102.9715097
1460,-352.5050253
1461,752.2558261
1462,1718.899529
1463,1953.392895
1464,1995.30176
1465,-1048.047668
1466,-1286.148476
1467,-198.6248612
1468,2367.127401
1469,3090.843554
1470,2131.371223
1471,692.1320687
1472,184.7758932
1473,193.0279399
1474,287.4179002
1475,588.1204038
1476,1573.2995
1477,1181.572628
1478,1061.930432
1479,1476.384061
1480,2892.374657
1481,3095.134805
1482,2423.963377
1483,436.3741396
1484,-1247.765249
1485,-7458.427863
1486,-6573.274511
1487,-5314.143519
1488,-4737.407375
1489,-4646.649172
1490,-4321.605071
1491,-3993.467511
1492,-2983.508513
1493,-1730.12735
1494,-367.5254926
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,0
1510,0
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,345.4850655
1534,851.1792819
1535,1160.917113
1536,1576.494583
1537,2446.899465
1538,2753.249928
1539,2141.537497
1540,1597.185386
1541,850.5006195
1542,477.4482054
